Subject.id,Model.idx,Log-likelihood,Correct/Total,Subject.accuracy,Model.accuracy
6a6382f3-5ca6-4976-8e5d-3dc85aa68bf4,0,-7.371947446943693,0.625,0.625,1.0
6a6382f3-5ca6-4976-8e5d-3dc85aa68bf4,1,-5.884975518070357,0.75,0.625,0.5
6a6382f3-5ca6-4976-8e5d-3dc85aa68bf4,2,-3.7073084706114394,0.875,0.625,0.75
6a6382f3-5ca6-4976-8e5d-3dc85aa68bf4,3,-12.476649250079015,,0.625,0.21875
3ac3839b-9b69-4cb0-b13c-f777d6811988,0,-5.574181481216692,0.7142857142857143,0.7142857142857143,1.0
3ac3839b-9b69-4cb0-b13c-f777d6811988,1,-7.5529454551430835,0.42857142857142855,0.7142857142857143,0.42857142857142855
3ac3839b-9b69-4cb0-b13c-f777d6811988,2,-5.574181481216692,0.7142857142857143,0.7142857142857143,0.7142857142857143
3ac3839b-9b69-4cb0-b13c-f777d6811988,3,-6.68989923778774,,0.7142857142857143,0.4285714285714285
20983d7a-9286-4403-b97a-35469952e594,0,-8.758241808063584,0.375,0.375,1.0
20983d7a-9286-4403-b97a-35469952e594,1,-8.317766166719343,0.5,0.375,0.5
20983d7a-9286-4403-b97a-35469952e594,2,-8.317766166719343,0.5,0.375,0.75
20983d7a-9286-4403-b97a-35469952e594,3,-15.249237972318797,,0.375,0.15625
78094eb5-51f9-4192-a3a5-8be52861c298,0,-8.758241808063584,0.375,0.375,1.0
78094eb5-51f9-4192-a3a5-8be52861c298,1,-8.758241808063584,0.375,0.375,0.5
78094eb5-51f9-4192-a3a5-8be52861c298,2,-8.758241808063584,0.375,0.375,0.75
78094eb5-51f9-4192-a3a5-8be52861c298,3,-11.953401106314468,,0.375,0.25
80e1166a-ffe7-4e2c-a616-cb22c8b49f97,0,-8.657564240310139,0.25,0.25,1.0
80e1166a-ffe7-4e2c-a616-cb22c8b49f97,1,-8.657564240310139,0.25,0.25,0.5
80e1166a-ffe7-4e2c-a616-cb22c8b49f97,2,-8.657564240310139,0.25,0.25,0.75
80e1166a-ffe7-4e2c-a616-cb22c8b49f97,3,-13.339695467434359,,0.25,0.21875
e3e33cdd-6063-49f1-98af-fa3634abe463,0,-8.758241808063584,0.375,0.375,1.0
e3e33cdd-6063-49f1-98af-fa3634abe463,1,-8.657564240310139,0.25,0.375,0.5
e3e33cdd-6063-49f1-98af-fa3634abe463,2,-8.758241808063584,0.375,0.375,0.75
e3e33cdd-6063-49f1-98af-fa3634abe463,3,-11.953401106314468,,0.375,0.25
d9395d6d-f019-42ea-bdda-927bea4eda51,0,-8.758241808063584,0.375,0.375,1.0
d9395d6d-f019-42ea-bdda-927bea4eda51,1,-8.758241808063584,0.375,0.375,0.5
d9395d6d-f019-42ea-bdda-927bea4eda51,2,-8.758241808063584,0.375,0.375,0.75
d9395d6d-f019-42ea-bdda-927bea4eda51,3,-15.249237972318797,,0.375,0.15625
74b7cfdb-2c87-4d9f-848a-f5464655f5fd,0,-8.317766166719343,0.5,0.5,1.0
74b7cfdb-2c87-4d9f-848a-f5464655f5fd,1,-8.317766166719343,0.5,0.5,0.5
74b7cfdb-2c87-4d9f-848a-f5464655f5fd,2,-8.317766166719343,0.5,0.5,0.75
74b7cfdb-2c87-4d9f-848a-f5464655f5fd,3,-10.567106745194577,,0.5,0.28125
8f2170ed-71ae-4bfd-b88b-74c2b5371364,0,-5.884975518070357,0.75,0.75,1.0
8f2170ed-71ae-4bfd-b88b-74c2b5371364,1,-7.371947446943693,0.625,0.75,0.5
8f2170ed-71ae-4bfd-b88b-74c2b5371364,2,-3.7073084706114394,0.875,0.75,0.75
8f2170ed-71ae-4bfd-b88b-74c2b5371364,3,-10.567106745194577,,0.75,0.28125
8d014bd3-bd01-4121-a5bb-504526b4461c,0,-7.371947446943693,0.625,0.625,1.0
8d014bd3-bd01-4121-a5bb-504526b4461c,1,-8.317766166719343,0.5,0.625,0.5
8d014bd3-bd01-4121-a5bb-504526b4461c,2,-7.371947446943693,0.625,0.625,0.75
8d014bd3-bd01-4121-a5bb-504526b4461c,3,-13.862943611198906,,0.625,0.1875
b33d3521-54ae-44c8-95d9-e1d1e10b9b05,0,-5.545177444479562,0.0,0.0,1.0
b33d3521-54ae-44c8-95d9-e1d1e10b9b05,1,-5.545177444479562,0.0,0.0,0.5
b33d3521-54ae-44c8-95d9-e1d1e10b9b05,2,-5.545177444479562,0.0,0.0,0.75
b33d3521-54ae-44c8-95d9-e1d1e10b9b05,3,-15.249237972318797,,0.0,0.15625
c79f6643-b3c4-4b72-b62f-b73c3250972a,0,-5.545177444479562,0.0,0.0,1.0
c79f6643-b3c4-4b72-b62f-b73c3250972a,1,-5.545177444479562,0.0,0.0,0.5
c79f6643-b3c4-4b72-b62f-b73c3250972a,2,-5.545177444479562,0.0,0.0,0.75
c79f6643-b3c4-4b72-b62f-b73c3250972a,3,-3.014161290051494,,0.0,0.78125
7ea08aed-7747-4ff2-8589-0ff247d3a2c9,0,-6.859798274583138,0.5714285714285714,0.5714285714285714,1.0
7ea08aed-7747-4ff2-8589-0ff247d3a2c9,1,-6.859798274583138,0.5714285714285714,0.5714285714285714,0.5714285714285714
7ea08aed-7747-4ff2-8589-0ff247d3a2c9,2,-6.859798274583138,0.5714285714285714,0.5714285714285714,0.7142857142857143
7ea08aed-7747-4ff2-8589-0ff247d3a2c9,3,-9.462487960027522,,0.5714285714285714,0.26530612244897955
cd848cce-3388-40c0-97a6-2a2bf3f281b1,0,-8.317766166719343,0.5,0.5,1.0
cd848cce-3388-40c0-97a6-2a2bf3f281b1,1,-8.657564240310139,0.25,0.5,0.5
cd848cce-3388-40c0-97a6-2a2bf3f281b1,2,-8.317766166719343,0.5,0.5,0.75
cd848cce-3388-40c0-97a6-2a2bf3f281b1,3,-5.545177444479562,,0.5,0.5
03313a39-ebe9-4b63-9be1-fd6d2c74847c,0,-7.371947446943693,0.625,0.625,1.0
03313a39-ebe9-4b63-9be1-fd6d2c74847c,1,-8.317766166719343,0.5,0.625,0.5
03313a39-ebe9-4b63-9be1-fd6d2c74847c,2,-7.371947446943693,0.625,0.625,0.75
03313a39-ebe9-4b63-9be1-fd6d2c74847c,3,-12.476649250079015,,0.625,0.21875
b1652888-500b-4c3b-b411-e22260db3a76,0,-7.371947446943693,0.625,0.625,1.0
b1652888-500b-4c3b-b411-e22260db3a76,1,-8.317766166719343,0.5,0.625,0.5
b1652888-500b-4c3b-b411-e22260db3a76,2,-7.371947446943693,0.625,0.625,0.75
b1652888-500b-4c3b-b411-e22260db3a76,3,-10.567106745194577,,0.625,0.28125
6a581df9-6165-4c4e-b274-e5cc3990367e,0,-7.866191553971111,0.125,0.125,1.0
6a581df9-6165-4c4e-b274-e5cc3990367e,1,-8.657564240310139,0.25,0.125,0.5
6a581df9-6165-4c4e-b274-e5cc3990367e,2,-7.866191553971111,0.125,0.125,0.75
6a581df9-6165-4c4e-b274-e5cc3990367e,3,-11.953401106314468,,0.125,0.25
d2bb468b-8651-402b-bb49-a40f87eeb58a,0,-8.657564240310139,0.25,0.25,1.0
d2bb468b-8651-402b-bb49-a40f87eeb58a,1,-8.657564240310139,0.25,0.25,0.5
d2bb468b-8651-402b-bb49-a40f87eeb58a,2,-8.657564240310139,0.25,0.25,0.75
d2bb468b-8651-402b-bb49-a40f87eeb58a,3,-13.339695467434359,,0.25,0.21875
3e7c54c8-ee87-40b8-a094-7b6dd953f38a,0,-8.317766166719343,0.5,0.5,1.0
3e7c54c8-ee87-40b8-a094-7b6dd953f38a,1,-7.371947446943693,0.625,0.5,0.5
3e7c54c8-ee87-40b8-a094-7b6dd953f38a,2,-8.317766166719343,0.5,0.5,0.75
3e7c54c8-ee87-40b8-a094-7b6dd953f38a,3,-12.476649250079015,,0.5,0.21875
f834612a-b2cc-4180-8687-c10351d6d19c,0,-8.657564240310139,0.25,0.25,1.0
f834612a-b2cc-4180-8687-c10351d6d19c,1,-7.866191553971111,0.125,0.25,0.5
f834612a-b2cc-4180-8687-c10351d6d19c,2,-8.657564240310139,0.25,0.25,0.75
f834612a-b2cc-4180-8687-c10351d6d19c,3,-15.249237972318797,,0.25,0.15625
139c15f2-dd11-486e-a01d-5274f320c7fc,0,-8.657564240310139,0.25,0.25,1.0
139c15f2-dd11-486e-a01d-5274f320c7fc,1,-8.657564240310139,0.25,0.25,0.5
139c15f2-dd11-486e-a01d-5274f320c7fc,2,-8.657564240310139,0.25,0.25,0.75
139c15f2-dd11-486e-a01d-5274f320c7fc,3,-12.476649250079015,,0.25,0.21875
99b0bbca-98bc-43f5-91f0-216c5c912b3d,0,-8.657564240310139,0.25,0.25,1.0
99b0bbca-98bc-43f5-91f0-216c5c912b3d,1,-8.657564240310139,0.25,0.25,0.5
99b0bbca-98bc-43f5-91f0-216c5c912b3d,2,-8.657564240310139,0.25,0.25,0.75
99b0bbca-98bc-43f5-91f0-216c5c912b3d,3,-10.567106745194577,,0.25,0.28125
e99ebf9b-b32d-4c07-b85e-f0c07c3bcdaf,0,-7.371947446943693,0.625,0.625,1.0
e99ebf9b-b32d-4c07-b85e-f0c07c3bcdaf,1,-8.317766166719343,0.5,0.625,0.5
e99ebf9b-b32d-4c07-b85e-f0c07c3bcdaf,2,-7.371947446943693,0.625,0.625,0.75
e99ebf9b-b32d-4c07-b85e-f0c07c3bcdaf,3,-12.476649250079015,,0.625,0.21875
c494590b-db82-4625-b1f9-77c818d1c7d3,0,-8.317766166719343,0.5,0.5,1.0
c494590b-db82-4625-b1f9-77c818d1c7d3,1,-8.758241808063584,0.375,0.5,0.5
c494590b-db82-4625-b1f9-77c818d1c7d3,2,-8.317766166719343,0.5,0.5,0.75
c494590b-db82-4625-b1f9-77c818d1c7d3,3,-13.339695467434357,,0.5,0.21875
c4c3adaf-f429-4745-822c-79aadeeb6766,0,-7.029697311378536,0.14285714285714285,0.14285714285714285,1.0
c4c3adaf-f429-4745-822c-79aadeeb6766,1,-7.5529454551430835,0.42857142857142855,0.14285714285714285,0.5714285714285714
c4c3adaf-f429-4745-822c-79aadeeb6766,2,-7.653623022896527,0.2857142857142857,0.14285714285714285,0.7142857142857143
c4c3adaf-f429-4745-822c-79aadeeb6766,3,-8.939239816262974,,0.14285714285714285,0.30612244897959184
21aa0cfc-b776-4895-a3fb-8d30221c7d14,0,-7.371947446943693,0.625,0.625,1.0
21aa0cfc-b776-4895-a3fb-8d30221c7d14,1,-8.317766166719343,0.5,0.625,0.5
21aa0cfc-b776-4895-a3fb-8d30221c7d14,2,-7.371947446943693,0.625,0.625,0.75
21aa0cfc-b776-4895-a3fb-8d30221c7d14,3,-13.862943611198906,,0.625,0.1875
0a228ea2-90e7-4a10-b62d-465cbaa94c42,0,-5.545177444479562,0.0,0.0,1.0
0a228ea2-90e7-4a10-b62d-465cbaa94c42,1,-5.545177444479562,0.0,0.0,0.5
0a228ea2-90e7-4a10-b62d-465cbaa94c42,2,-5.545177444479562,0.0,0.0,0.75
0a228ea2-90e7-4a10-b62d-465cbaa94c42,3,-7.202048410148295,,0.0,0.46875
fc83dcca-d19d-4bdd-802a-ce43304606e9,0,-5.2053793708887675,0.6666666666666666,0.6666666666666666,1.0
fc83dcca-d19d-4bdd-802a-ce43304606e9,1,-6.591673732008658,0.3333333333333333,0.6666666666666666,0.3333333333333333
fc83dcca-d19d-4bdd-802a-ce43304606e9,2,-5.2053793708887675,0.6666666666666666,0.6666666666666666,0.6666666666666666
fc83dcca-d19d-4bdd-802a-ce43304606e9,3,-9.36426245424844,,0.6666666666666666,0.2222222222222222
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,0,-8.758241808063584,0.375,0.375,1.0
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,1,-8.657564240310139,0.25,0.375,0.5
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,2,-8.758241808063584,0.375,0.375,0.75
078dfd8b-a088-4749-b4cd-2b0f0f9870f9,3,-11.953401106314466,,0.375,0.25
47b4b758-854c-4038-9a4d-326ef2e4957c,0,-7.5529454551430835,0.42857142857142855,0.42857142857142855,1.0
47b4b758-854c-4038-9a4d-326ef2e4957c,1,-6.859798274583138,0.5714285714285714,0.42857142857142855,0.42857142857142855
47b4b758-854c-4038-9a4d-326ef2e4957c,2,-7.5529454551430835,0.42857142857142855,0.42857142857142855,0.7142857142857143
47b4b758-854c-4038-9a4d-326ef2e4957c,3,-10.848782321147413,,0.42857142857142855,0.22448979591836732
471df42d-8ebc-4932-bc76-5a21e7fc1488,0,-8.317766166719343,0.5,0.5,1.0
471df42d-8ebc-4932-bc76-5a21e7fc1488,1,-8.317766166719343,0.5,0.5,0.5
471df42d-8ebc-4932-bc76-5a21e7fc1488,2,-8.317766166719343,0.5,0.5,0.75
471df42d-8ebc-4932-bc76-5a21e7fc1488,3,-10.567106745194577,,0.5,0.28125
a12c5539-5e74-4a54-b450-8161d1b9187b,0,-7.371947446943693,0.625,0.625,1.0
a12c5539-5e74-4a54-b450-8161d1b9187b,1,-8.317766166719343,0.5,0.625,0.5
a12c5539-5e74-4a54-b450-8161d1b9187b,2,-7.371947446943693,0.625,0.625,0.75
a12c5539-5e74-4a54-b450-8161d1b9187b,3,-10.567106745194577,,0.625,0.28125
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,0,-8.657564240310139,0.25,0.25,1.0
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,1,-8.657564240310139,0.25,0.25,0.5
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,2,-8.657564240310139,0.25,0.25,0.75
f9cf5e5a-710b-4775-aa50-52947e5bd4ed,3,-10.567106745194577,,0.25,0.28125
0702a86a-b28e-4696-8985-c62f54d8eaac,0,-5.545177444479562,0.0,0.0,1.0
0702a86a-b28e-4696-8985-c62f54d8eaac,1,-7.866191553971111,0.125,0.0,0.5
0702a86a-b28e-4696-8985-c62f54d8eaac,2,-5.545177444479562,0.0,0.0,0.75
0702a86a-b28e-4696-8985-c62f54d8eaac,3,-3.014161290051494,,0.0,0.78125
b2d5c0d5-7873-4952-8914-dd64821c4e29,0,-5.545177444479562,0.0,0.0,1.0
b2d5c0d5-7873-4952-8914-dd64821c4e29,1,-7.866191553971111,0.125,0.0,0.5
b2d5c0d5-7873-4952-8914-dd64821c4e29,2,-5.545177444479562,0.0,0.0,0.75
b2d5c0d5-7873-4952-8914-dd64821c4e29,3,-7.202048410148295,,0.0,0.46875
18b3380f-0660-4488-a529-b75f1adb1adb,0,-7.866191553971111,0.125,0.125,1.0
18b3380f-0660-4488-a529-b75f1adb1adb,1,-8.317766166719343,0.5,0.125,0.5
18b3380f-0660-4488-a529-b75f1adb1adb,2,-8.758241808063584,0.375,0.125,0.75
18b3380f-0660-4488-a529-b75f1adb1adb,3,-9.704060527839234,,0.125,0.34375
38d9133a-6cd8-4748-a00a-20acc4afc74f,0,-3.7073084706114394,0.875,0.875,1.0
38d9133a-6cd8-4748-a00a-20acc4afc74f,1,-8.317766166719343,0.5,0.875,0.5
38d9133a-6cd8-4748-a00a-20acc4afc74f,2,-5.884975518070357,0.75,0.875,0.75
38d9133a-6cd8-4748-a00a-20acc4afc74f,3,-12.476649250079015,,0.875,0.21875
84b90b4e-3697-4e16-9213-0dc33dc20aa8,0,-8.317766166719343,0.5,0.5,1.0
84b90b4e-3697-4e16-9213-0dc33dc20aa8,1,-8.758241808063584,0.375,0.5,0.5
84b90b4e-3697-4e16-9213-0dc33dc20aa8,2,-8.317766166719343,0.5,0.5,0.75
84b90b4e-3697-4e16-9213-0dc33dc20aa8,3,-13.862943611198906,,0.5,0.1875
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,0,-3.7073084706114394,0.875,0.875,1.0
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,1,-8.317766166719343,0.5,0.875,0.5
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,2,-5.884975518070357,0.75,0.875,0.75
8bbb90ca-bf78-4590-8949-e4ca93cdeedb,3,-12.476649250079015,,0.875,0.21875
c3af7deb-ef7c-4658-a11f-daadd58fe68e,0,-8.758241808063584,0.375,0.375,1.0
c3af7deb-ef7c-4658-a11f-daadd58fe68e,1,-8.758241808063584,0.375,0.375,0.5
c3af7deb-ef7c-4658-a11f-daadd58fe68e,2,-8.758241808063584,0.375,0.375,0.75
c3af7deb-ef7c-4658-a11f-daadd58fe68e,3,-11.953401106314468,,0.375,0.25
c8802d14-b876-4a4f-8473-ba34cb854c00,0,-5.884975518070357,0.75,0.75,1.0
c8802d14-b876-4a4f-8473-ba34cb854c00,1,-8.317766166719343,0.5,0.75,0.5
c8802d14-b876-4a4f-8473-ba34cb854c00,2,-5.884975518070357,0.75,0.75,0.75
c8802d14-b876-4a4f-8473-ba34cb854c00,3,-11.090354888959125,,0.75,0.25
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,0,-5.884975518070357,0.75,0.75,1.0
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,1,-8.317766166719343,0.5,0.75,0.5
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,2,-5.884975518070357,0.75,0.75,0.75
bb3c375b-8140-4740-96e4-f7a0ef85e4ef,3,-12.476649250079015,,0.75,0.21875
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,0,-4.1588830833596715,0.5,0.5,1.0
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,1,-4.1588830833596715,0.5,0.5,0.5
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,2,-4.1588830833596715,0.5,0.5,0.75
fbbb16d6-24fd-48cd-9aa6-ab4a694d0a20,3,-5.545177444479562,,0.5,0.25
83ceb570-0017-452a-9ff8-b3b581db7dd8,0,-7.371947446943693,0.625,0.625,1.0
83ceb570-0017-452a-9ff8-b3b581db7dd8,1,-8.758241808063584,0.375,0.625,0.5
83ceb570-0017-452a-9ff8-b3b581db7dd8,2,-7.371947446943693,0.625,0.625,0.75
83ceb570-0017-452a-9ff8-b3b581db7dd8,3,-10.043858601430028,,0.625,0.3125
431ddd08-65c9-4ff9-b3a4-cb8d2df7d713,0,-8.657564240310139,0.25,0.25,1.0
431ddd08-65c9-4ff9-b3a4-cb8d2df7d713,1,-8.657564240310139,0.25,0.25,0.5
431ddd08-65c9-4ff9-b3a4-cb8d2df7d713,2,-8.657564240310139,0.25,0.25,0.75
431ddd08-65c9-4ff9-b3a4-cb8d2df7d713,3,-9.704060527839234,,0.25,0.34375
a578be9d-148d-4fde-bc15-3a98d2b1e357,0,-7.371947446943693,0.625,0.625,1.0
a578be9d-148d-4fde-bc15-3a98d2b1e357,1,-8.758241808063584,0.375,0.625,0.5
a578be9d-148d-4fde-bc15-3a98d2b1e357,2,-7.371947446943693,0.625,0.625,0.75
a578be9d-148d-4fde-bc15-3a98d2b1e357,3,-12.476649250079015,,0.625,0.21875
b4c3c5a1-e8d3-4253-bc8d-03baf2599d31,0,-5.574181481216692,0.7142857142857143,0.7142857142857143,1.0
b4c3c5a1-e8d3-4253-bc8d-03baf2599d31,1,-7.5529454551430835,0.42857142857142855,0.7142857142857143,0.42857142857142855
b4c3c5a1-e8d3-4253-bc8d-03baf2599d31,2,-5.574181481216692,0.7142857142857143,0.7142857142857143,0.7142857142857143
b4c3c5a1-e8d3-4253-bc8d-03baf2599d31,3,-9.462487960027522,,0.7142857142857143,0.26530612244897955
21463ffd-bdd7-4209-947a-7718f87bd099,0,-8.758241808063584,0.375,0.375,1.0
21463ffd-bdd7-4209-947a-7718f87bd099,1,-8.758241808063584,0.375,0.375,0.5
21463ffd-bdd7-4209-947a-7718f87bd099,2,-8.758241808063584,0.375,0.375,0.75
21463ffd-bdd7-4209-947a-7718f87bd099,3,-13.862943611198906,,0.375,0.1875
f0625205-3623-4874-9322-6400b0b18e73,0,-7.371947446943693,0.625,0.625,1.0
f0625205-3623-4874-9322-6400b0b18e73,1,-8.317766166719343,0.5,0.625,0.5
f0625205-3623-4874-9322-6400b0b18e73,2,-7.371947446943693,0.625,0.625,0.75
f0625205-3623-4874-9322-6400b0b18e73,3,-10.567106745194575,,0.625,0.28125
